MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,HousePrice
4.7754,47.2,5.76,1.5,1149,2.17,37.329,-120.4797,4.6278
3.4366,41.8,5.53,1.49,887,3.54,32.7278,-123.4761,3.6844
3.2627,41.7,4.39,1.31,1857,3.47,35.4737,-120.3496,2.9849
3.2628,26.5,5.64,1.42,2312,2.46,40.2887,-118.1779,2.8432
7.8994,23.7,9.06,2.17,1970,2.54,37.7624,-119.0607,5.0
5.4517,19.2,7.13,2.03,248,2.72,36.7805,-117.2157,4.509
2.8654,8.1,4.14,1.13,459,1.65,35.2125,-123.7341,2.904
4.8853,15.7,6.22,1.5,1123,3.2,35.3314,-121.3977,4.2983
4.198,16.6,4.48,1.3,3477,2.84,36.1395,-115.9438,2.6309
1.2244,27.8,4.19,1.45,2362,3.58,40.4379,-123.4851,1.8595
2.0973,40.1,4.62,1.39,2418,2.34,41.6885,-115.574,2.1555
4.3561,27.3,4.12,1.25,634,2.63,36.6672,-123.3627,3.6064
7.517,7.7,6.58,1.82,873,2.1,36.2369,-115.7886,4.4968
3.2776,50.0,4.74,1.19,963,2.4,40.5422,-120.62,3.3378
2.7474,49.3,4.41,1.46,405,2.29,36.5556,-118.0555,3.2596
3.9223,41.9,4.39,1.43,238,3.6,37.7442,-122.7406,3.9048
2.6614,51.6,4.91,1.42,3723,2.58,34.6939,-123.6251,2.5343
3.1618,30.6,5.1,1.67,530,3.07,39.5633,-122.0974,2.8528
3.6736,50.3,5.05,1.34,529,2.77,37.5539,-122.9959,3.8701
2.0426,8.6,3.62,1.39,304,2.24,40.1858,-121.1135,2.014
5.5976,22.2,7.2,1.96,3366,2.9,39.917,-119.0533,3.6988
1.8543,15.6,5.44,1.54,1240,3.36,34.5425,-118.2947,2.4378
1.7392,14.2,3.66,1.23,1520,2.28,39.2985,-116.2433,1.5052
4.1015,11.6,4.97,1.48,3111,3.49,40.1005,-117.6064,2.8737
5.3762,34.3,6.62,2.01,709,2.49,35.788,-118.0907,4.0907
4.0477,41.7,5.14,1.37,1366,2.71,34.1398,-120.0998,3.2481
3.4787,32.2,4.98,1.38,247,3.32,32.525,-119.4672,3.2737
3.1455,11.9,5.48,1.75,448,2.6,36.7836,-120.0719,2.5062
2.8796,43.1,3.2,1.05,2335,3.02,35.8481,-115.7099,3.2034
6.2507,34.9,7.81,2.2,1947,2.81,37.7716,-121.954,4.5119
4.378,23.2,5.68,1.89,718,3.08,34.2864,-124.2416,3.6881
3.0032,36.7,4.47,1.33,767,1.57,40.6668,-117.6565,3.2586
2.5484,17.2,4.46,1.49,1115,1.9,34.9487,-122.2349,2.2885
5.0545,21.2,6.0,1.53,200,3.37,34.6511,-115.2208,2.7672
6.1753,48.1,5.32,1.68,531,3.62,37.0668,-115.5377,4.4654
5.8938,18.7,7.73,2.08,480,2.45,37.2391,-123.5174,4.2678
2.3211,27.1,4.43,1.46,546,2.85,34.5433,-123.2148,2.7492
3.1315,46.8,5.23,1.45,2167,3.18,35.0827,-119.2492,3.0234
2.8499,38.3,5.47,1.35,594,3.42,34.1122,-118.0859,2.697
3.3498,7.9,4.19,1.41,455,1.78,39.3254,-121.4959,3.4744
5.5709,11.9,6.72,1.53,1042,2.47,39.8158,-116.9887,3.2807
7.1613,5.4,7.08,1.87,2609,2.8,36.8921,-118.2319,4.5689
4.4623,34.7,6.35,1.91,531,3.42,39.2838,-120.9868,3.5034
2.595,26.0,2.86,1.1,298,4.5,39.4914,-124.0412,2.4915
3.6303,11.3,5.1,1.81,729,2.86,33.8136,-116.6485,2.5773
